License No.,Trade Name A,Trade Name E,License Status A,Issue Date,Expire Date,Address,Person Legal Type A,Person Serial No.,Person Name A,Partner Status A,Partner Add Date,Partner Cancel Date,Emirates ID,Nationality A,Mobile,Activity Master Group A,Activity Category A,Activity Consist Group A,Activity Code ISIC4,Activity A
890568,القمة للتدريب,SUMMIT TRAINING,ساري,29/09/2023,28/09/2026,مكتب رقم 604 برج المعرفة - طريق الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,28365,خالد سعيد المزروعي,شريك,29/09/2023,-,784-1979-1234567-2,الإمارات,971568901234,تعليم,خدمات تعليمية,مركز تدريب,8549012,مركز تدريب إداري
890569,الأصالة للمجوهرات,AL ASALA JEWELLERY,ملغاه,08/10/2022,07/10/2025,محل رقم 9 سوق الذهب - ديرة - دبي,شركة تضامنية,45812,محمد خليفة الفلاسي,شريك,08/10/2022,15/04/2024,784-1969-2345678-3,الإمارات,971569012345,تجارة,تجارة المجوهرات,تجارة الذهب والمجوهرات,4773001,تجارة الذهب والمجوهرات
890570,الشروق للألمنيوم,AL SHAROOQ ALUMINIUM,منتهية,13/11/2021,12/11/2024,مصنع رقم 15 المنطقة الصناعية - القوز - دبي,مؤسسة فردية,39571,راشد سعيد الكتبي,فعال,13/11/2021,-,784-1971-7890123-4,الإمارات,971570123456,صناعة,الصناعات المعدنية,صناعة الألمنيوم,2511003,صناعة منتجات الألمنيوم
890571,النجمة للخدمات الصحية,STAR HEALTH SERVICES,ساري,07/12/2023,06/12/2026,مبنى مستقل - منطقة الخوانيج الصحية - دبي,شركة ذات مسؤولية محدودة,63482,د. أحمد محمد الجابري,شريك,07/12/2023,-,784-1975-3456789-8,الإمارات,971571234567,صحة,خدمات صحية,مركز طبي,8620002,مركز طبي
890582,البوابة للتجارة العامة,AL BAWABA GENERAL TRADING,ساري,10/05/2024,09/05/2027,محل رقم 12 سوق الجمال - ديرة - دبي,مؤسسة فردية,42596,ناصر محمد الكعبي,فعال,10/05/2024,-,784-1981-4567890-9,الإمارات,971582345678,تجارة,تجارة عامة,تجارة عامة,4690001,تجارة عامة
890582,البوابة للتجارة العامة,AL BAWABA GENERAL TRADING,ساري,10/05/2024,09/05/2027,محل رقم 12 سوق الجمال - ديرة - دبي,مؤسسة فردية,42596,ناصر محمد الكعبي,فعال,10/05/2024,-,784-1981-4567890-9,الإمارات,971582345678,تجارة,المواد الغذائية,تجارة المواد الغذائية,4721001,تجارة المواد الغذائية
890583,دار الأمان للعقارات,DAR AL AMAN REAL ESTATE,ساري,12/05/2024,11/05/2027,مكتب رقم 1103 برج السلام - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,53698,عمر سلطان النعيمي,شريك,12/05/2024,-,784-1982-5678901-0,الإمارات,971583456789,عقارات,خدمات عقارية,إدارة العقارات,6820002,إدارة وتشغيل العقارات
890583,دار الأمان للعقارات,DAR AL AMAN REAL ESTATE,ساري,12/05/2024,11/05/2027,مكتب رقم 1103 برج السلام - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,53698,عمر سلطان النعيمي,شريك,12/05/2024,-,784-1982-5678901-0,الإمارات,971583456789,عقارات,خدمات عقارية,الوساطة العقارية,6820001,الوساطة في بيع العقارات وشرائها
890583,دار الأمان للعقارات,DAR AL AMAN REAL ESTATE,ساري,12/05/2024,11/05/2027,مكتب رقم 1103 برج السلام - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,53698,عمر سلطان النعيمي,شريك,12/05/2024,-,784-1982-5678901-0,الإمارات,971583456789,استشارات,خدمات استشارية,استشارات عقارية,6820003,استشارات عقارية
890584,النورس للضيافة,AL NAWRAS HOSPITALITY,ساري,13/05/2024,12/05/2027,مطعم رقم 23 فندق الشاطئ - جميرا - دبي,شركة ذات مسؤولية محدودة,36741,خالد عبدالله الشحي,شريك,13/05/2024,-,784-1977-6789012-1,الإمارات,971584567890,ضيافة,خدمات الضيافة,مطعم,5610001,مطعم
890584,النورس للضيافة,AL NAWRAS HOSPITALITY,ساري,13/05/2024,12/05/2027,مطعم رقم 23 فندق الشاطئ - جميرا - دبي,شركة ذات مسؤولية محدودة,36741,خالد عبدالله الشحي,شريك,13/05/2024,-,784-1977-6789012-1,الإمارات,971584567890,ضيافة,خدمات الضيافة,خدمات تموين,5629001,خدمات تموين الحفلات والمناسبات
890585,الرؤية المتكاملة للاستشارات,INTEGRATED VISION CONSULTANCY,ساري,14/05/2024,13/05/2027,مكتب رقم 905 برج المستقبل - شارع الشيخ زايد - دبي,شركة مهنية,42789,د. فاطمة خالد المرزوقي,شريك,14/05/2024,-,784-1983-7890123-2,الإمارات,971585678901,استشارات,خدمات استشارية,استشارات إدارية,7020001,استشارات إدارية
890585,الرؤية المتكاملة للاستشارات,INTEGRATED VISION CONSULTANCY,ساري,14/05/2024,13/05/2027,مكتب رقم 905 برج المستقبل - شارع الشيخ زايد - دبي,شركة مهنية,42789,د. فاطمة خالد المرزوقي,شريك,14/05/2024,-,784-1983-7890123-2,الإمارات,971585678901,استشارات,خدمات استشارية,استشارات استراتيجية,7020002,استشارات في التخطيط الاستراتيجي
890585,الرؤية المتكاملة للاستشارات,INTEGRATED VISION CONSULTANCY,ساري,14/05/2024,13/05/2027,مكتب رقم 905 برج المستقبل - شارع الشيخ زايد - دبي,شركة مهنية,42789,د. فاطمة خالد المرزوقي,شريك,14/05/2024,-,784-1983-7890123-2,الإمارات,971585678901,استشارات,خدمات استشارية,دراسات جدوى,7020003,إعداد دراسات الجدوى الاقتصادية
890586,الفضاء للتكنولوجيا,SPACE TECHNOLOGY,ساري,14/05/2024,13/05/2027,مكتب رقم 1506 برج التقنية - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,58741,محمد سعيد الظاهري,شريك,14/05/2024,-,784-1984-8901234-3,الإمارات,971586789012,تقنية,تكنولوجيا المعلومات,برمجة الحاسب الآلي,6201001,البرمجة الحاسوبية
890586,الفضاء للتكنولوجيا,SPACE TECHNOLOGY,ساري,14/05/2024,13/05/2027,مكتب رقم 1506 برج التقنية - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,58741,محمد سعيد الظاهري,شريك,14/05/2024,-,784-1984-8901234-3,الإمارات,971586789012,تقنية,تكنولوجيا المعلومات,أنظمة الذكاء الاصطناعي,6209001,تطوير أنظمة الذكاء الاصطناعي
890586,الفضاء للتكنولوجيا,SPACE TECHNOLOGY,ساري,14/05/2024,13/05/2027,مكتب رقم 1506 برج التقنية - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,58741,محمد سعيد الظاهري,شريك,14/05/2024,-,784-1984-8901234-3,الإمارات,971586789012,تقنية,تكنولوجيا المعلومات,تقنيات رقمية,6202001,خدمات استشارات تقنية المعلومات
890587,الشرق للإعلام الرقمي,EAST DIGITAL MEDIA,ساري,14/05/2024,13/05/2027,مكتب رقم 705 برج الإعلام - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,43156,حمدان سيف العبدولي,شريك,14/05/2024,-,784-1986-9012345-4,الإمارات,971587890123,إعلام,خدمات إعلامية,الإعلام الرقمي,7310001,خدمات الإعلان الرقمي
890587,الشرق للإعلام الرقمي,EAST DIGITAL MEDIA,ساري,14/05/2024,13/05/2027,مكتب رقم 705 برج الإعلام - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,43156,حمدان سيف العبدولي,شريك,14/05/2024,-,784-1986-9012345-4,الإمارات,971587890123,إعلام,خدمات إعلامية,تسويق رقمي,7310002,خدمات التسويق الرقمي
890588,جرين لاين للمشاريع المستدامة,GREEN LINE SUSTAINABLE PROJECTS,ساري,14/05/2024,13/05/2027,مكتب رقم 2003 برج الاستدامة - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,57419,عبدالله علي المزروعي,شريك,14/05/2024,-,784-1979-0123456-5,الإمارات,971588901234,طاقة,الطاقة المستدامة,المباني الخضراء,7110008,استشارات هندسة المباني الخضراء
890588,جرين لاين للمشاريع المستدامة,GREEN LINE SUSTAINABLE PROJECTS,ساري,14/05/2024,13/05/2027,مكتب رقم 2003 برج الاستدامة - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,57419,عبدالله علي المزروعي,شريك,14/05/2024,-,784-1979-0123456-5,الإمارات,971588901234,طاقة,الطاقة المستدامة,حلول الطاقة المتجددة,3510004,تركيب وصيانة أنظمة الطاقة الشمسية
890589,المستقبل للخدمات الطبية المتكاملة,FUTURE INTEGRATED MEDICAL SERVICES,ساري,14/05/2024,13/05/2027,مبنى مستقل - منطقة دبي الطبية - دبي,شركة ذات مسؤولية محدودة,32568,د. عائشة محمد الهاشمي,شريك,14/05/2024,-,784-1982-1234567-6,الإمارات,971589012345,صحة,خدمات صحية,مركز طبي,8620002,مركز طبي
890589,المستقبل للخدمات الطبية المتكاملة,FUTURE INTEGRATED MEDICAL SERVICES,ساري,14/05/2024,13/05/2027,مبنى مستقل - منطقة دبي الطبية - دبي,شركة ذات مسؤولية محدودة,32568,د. عائشة محمد الهاشمي,شريك,14/05/2024,-,784-1982-1234567-6,الإمارات,971589012345,صحة,خدمات صحية,مختبر طبي,8690004,خدمات المختبرات الطبية
890589,المستقبل للخدمات الطبية المتكاملة,FUTURE INTEGRATED MEDICAL SERVICES,ساري,14/05/2024,13/05/2027,مبنى مستقل - منطقة دبي الطبية - دبي,شركة ذات مسؤولية محدودة,32568,د. عائشة محمد الهاشمي,شريك,14/05/2024,-,784-1982-1234567-6,الإمارات,971589012345,صحة,خدمات صحية,عيادة طبية متخصصة,8620003,عيادة طبية متخصصة
890590,الأساس للمقاولات المتكاملة,AL ASAS INTEGRATED CONTRACTING,ساري,14/05/2024,13/05/2027,مكتب رقم 405 بناية المقاولين - شارع الخليج - ديرة - دبي,شركة ذات مسؤولية محدودة,46712,جاسم علي الكعبي,شريك,14/05/2024,-,784-1976-2345678-7,الإمارات,971590123456,مقاولات,مقاولات و تطوير و معدات البناء,مقاولات البناء,4100001,مقاولات البناء
890590,الأساس للمقاولات المتكاملة,AL ASAS INTEGRATED CONTRACTING,ساري,14/05/2024,13/05/2027,مكتب رقم 405 بناية المقاولين - شارع الخليج - ديرة - دبي,شركة ذات مسؤولية محدودة,46712,جاسم علي الكعبي,شريك,14/05/2024,-,784-1976-2345678-7,الإمارات,971590123456,مقاولات,مقاولات و تطوير و معدات البناء,مقاولات كهربائية,4321001,مقاولات تركيب الأنظمة الكهربائية
890591,الإبداع للتصميم الداخلي,AL IBDAA INTERIOR DESIGN,ساري,15/05/2024,14/05/2027,محل رقم 208 مركز التصميم - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,41572,منى راشد المنصوري,شريك,15/05/2024,-,784-1985-3456789-8,الإمارات,971591234567,تصميم,خدمات التصميم,تصميم داخلي,7410001,خدمات التصميم الداخلي
890591,الإبداع للتصميم الداخلي,AL IBDAA INTERIOR DESIGN,ساري,15/05/2024,14/05/2027,محل رقم 208 مركز التصميم - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,41572,منى راشد المنصوري,شريك,15/05/2024,-,784-1985-3456789-8,الإمارات,971591234567,تصميم,خدمات التصميم,أثاث وديكور,4759001,تجارة الأثاث والديكور
890592,اللؤلؤة لتجارة المجوهرات,PEARL JEWELRY TRADING,ساري,15/05/2024,14/05/2027,محل رقم 15 سوق الذهب - ديرة - دبي,مؤسسة فردية,39845,مريم أحمد السويدي,فعال,15/05/2024,-,784-1980-4567890-9,الإمارات,971592345678,تجارة,المجوهرات والساعات,تجارة المجوهرات,4773001,تجارة المجوهرات واللؤلؤ والأحجار الكريمة
890593,الياسمين للعناية الصحية,JASMINE HEALTHCARE,ساري,16/05/2024,15/05/2027,وحدة رقم 12 مبنى الصحة - الممزر - دبي,شركة ذات مسؤولية محدودة,45213,د. نورة سالم الزعابي,شريك,16/05/2024,-,784-1978-5678901-0,الإمارات,971593456789,صحة,خدمات صحية,رعاية منزلية,8690005,خدمات الرعاية الصحية المنزلية
890593,الياسمين للعناية الصحية,JASMINE HEALTHCARE,ساري,16/05/2024,15/05/2027,وحدة رقم 12 مبنى الصحة - الممزر - دبي,شركة ذات مسؤولية محدودة,45213,د. نورة سالم الزعابي,شريك,16/05/2024,-,784-1978-5678901-0,الإمارات,971593456789,صحة,المستلزمات الطبية,تجارة المستلزمات الطبية,4772001,تجارة المستلزمات والأجهزة الطبية
890594,فالكون للخدمات الأمنية,FALCON SECURITY SERVICES,ساري,16/05/2024,15/05/2027,مكتب رقم 704 برج الأمن - شارع الاتحاد - دبي,شركة ذات مسؤولية محدودة,52617,سعيد خليفة القاسمي,شريك,16/05/2024,-,784-1975-6789012-1,الإمارات,971594567890,أمن,خدمات أمنية,حراسة أمنية,8010001,خدمات الحراسة الأمنية
890594,فالكون للخدمات الأمنية,FALCON SECURITY SERVICES,ساري,16/05/2024,15/05/2027,مكتب رقم 704 برج الأمن - شارع الاتحاد - دبي,شركة ذات مسؤولية محدودة,52617,سعيد خليفة القاسمي,شريك,16/05/2024,-,784-1975-6789012-1,الإمارات,971594567890,أمن,خدمات أمنية,أنظمة مراقبة,8020001,تركيب وصيانة معدات وأجهزة الأمن والسلامة وكاميرات المراقبة
890595,الساحل لخدمات الشحن,AL SAHIL SHIPPING SERVICES,ساري,17/05/2024,16/05/2027,مكتب رقم 310 برج الميناء - ميناء راشد - دبي,شركة ذات مسؤولية محدودة,38924,خالد سعيد المهيري,شريك,17/05/2024,-,784-1974-7890123-2,الإمارات,971595678901,نقل,خدمات النقل والشحن,شحن بحري,5222001,خدمات الشحن البحري
890595,الساحل لخدمات الشحن,AL SAHIL SHIPPING SERVICES,ساري,17/05/2024,16/05/2027,مكتب رقم 310 برج الميناء - ميناء راشد - دبي,شركة ذات مسؤولية محدودة,38924,خالد سعيد المهيري,شريك,17/05/2024,-,784-1974-7890123-2,الإمارات,971595678901,نقل,خدمات النقل والشحن,تخليص جمركي,5229002,خدمات التخليص الجمركي
890596,الفنار للنقل المدرسي,AL FANAR SCHOOL TRANSPORT,ساري,17/05/2024,16/05/2027,مستودع رقم 8 منطقة القوز الصناعية - دبي,شركة ذات مسؤولية محدودة,57123,أحمد عبدالرحمن السويدي,شريك,17/05/2024,-,784-1973-8901234-3,الإمارات,971596789012,نقل,خدمات النقل والشحن,نقل مدرسي,4922003,خدمات النقل المدرسي
890597,نجم البحر للسياحة,SEA STAR TOURISM,ساري,18/05/2024,17/05/2027,محل رقم 5 فندق المرجان - جميرا بيتش ريزيدنس - دبي,شركة ذات مسؤولية محدودة,43567,ليلى محمد الشامسي,شريك,18/05/2024,-,784-1985-9012345-4,الإمارات,971597890123,سياحة,خدمات سياحية,وكالة سفر,7911001,خدمات وكالات السفر
890597,نجم البحر للسياحة,SEA STAR TOURISM,ساري,18/05/2024,17/05/2027,محل رقم 5 فندق المرجان - جميرا بيتش ريزيدنس - دبي,شركة ذات مسؤولية محدودة,43567,ليلى محمد الشامسي,شريك,18/05/2024,-,784-1985-9012345-4,الإمارات,971597890123,سياحة,خدمات سياحية,تنظيم رحلات,7912001,تنظيم الرحلات السياحية
890598,الضيافة العربية للمأكولات التراثية,ARABIAN HOSPITALITY FOR HERITAGE CUISINE,ساري,18/05/2024,17/05/2027,محل رقم 7 سوق البحار - الخور - دبي,مؤسسة فردية,51439,حمد راشد النعيمي,فعال,18/05/2024,-,784-1972-0123456-5,الإمارات,971598901234,ضيافة,خدمات الضيافة,مطعم شعبي,5610002,مطعم شعبي
890599,النخيل للمستلزمات الزراعية,AL NAKHEEL AGRICULTURAL SUPPLIES,ساري,18/05/2024,17/05/2027,محل رقم 4 سوق الورقاء - الورقاء 2 - دبي,مؤسسة فردية,48721,سلطان عيسى الفلاسي,فعال,18/05/2024,-,784-1978-1234567-6,الإمارات,971599012345,زراعة,المستلزمات الزراعية,تجارة مستلزمات زراعية,4776001,تجارة البذور والشتلات والأسمدة والمستلزمات الزراعية
890600,المستقبل لتقنيات المياه,FUTURE WATER TECHNOLOGIES,ساري,19/05/2024,18/05/2027,مكتب رقم 506 برج المياه - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,54321,محمد علي المعمري,شريك,19/05/2024,-,784-1974-2345678-7,الإمارات,971560123456,بيئة,تكنولوجيا المياه,معالجة المياه,3600001,معالجة وتنقية المياه
890600,المستقبل لتقنيات المياه,FUTURE WATER TECHNOLOGIES,ساري,19/05/2024,18/05/2027,مكتب رقم 506 برج المياه - شارع الشيخ زايد - دبي,شركة ذات مسؤولية محدودة,54321,محمد علي المعمري,شريك,19/05/2024,-,784-1974-2345678-7,الإمارات,971560123456,بيئة,تكنولوجيا المياه,استشارات مائية,7110009,استشارات هندسة موارد المياه
